trial,seed,final_loss,steps,elapsed_time
1,100,0.322265625,91,5.008694887161255
2,101,0.251953125,99,5.048771142959595
3,102,0.294921875,99,5.015270471572876
4,103,0.244140625,111,5.003474473953247
5,104,0.16796875,117,5.0258543491363525
6,105,0.263671875,100,5.00071382522583
7,106,0.208984375,112,5.041362524032593
8,107,0.1728515625,114,5.012894630432129
9,108,0.2099609375,117,5.017508029937744
10,109,0.2734375,114,5.0101025104522705
11,110,0.1669921875,116,5.027985334396362
12,111,0.173828125,114,5.00800633430481
13,112,0.30078125,116,5.005172252655029
14,113,0.251953125,114,5.014454364776611
15,114,0.166015625,117,5.01810097694397
16,115,0.1962890625,116,5.031806230545044
17,116,0.158203125,115,5.039767026901245
18,117,0.2099609375,115,5.015130519866943
19,118,0.271484375,118,5.042178392410278
20,119,0.1884765625,115,5.031505823135376
